id,count
0,112.478584
1,183.90094
2,53.986233
4,41.442368
5,29.073654
10,172.4958
11,214.95341
12,283.45493
15,29.566553
17,106.393105
18,280.8818
23,221.30481
25,113.5742
26,55.83033
31,179.90952
39,189.98444
40,26.81202
41,159.48769
42,344.76712
43,169.43436
51,213.10352
52,83.54183
54,29.459976
60,115.13504
61,111.523254
62,89.002304
63,26.888721
65,128.39911
66,117.70996
68,162.36365
71,73.97263
80,45.17025
82,70.83204
94,104.214775
98,281.38187
101,27.996243
102,112.81201
107,77.64973
112,235.56267
113,71.42674
115,50.677
116,121.42878
120,162.69
121,74.249565
122,317.4937
132,221.51706
143,75.66452
147,61.41533
150,41.23578
151,81.7365
152,243.40488
153,97.929726
155,124.51484
156,64.97432
159,185.94957
161,157.82167
163,57.35122
177,178.33585
186,29.59809
188,26.195812
190,81.07593
191,94.47947
192,277.43402
195,271.7822
200,166.73389
209,320.0953
210,18.268515
211,228.39673
214,122.79281
215,36.63107
218,130.52356
219,37.367176
222,133.4926
225,23.912096
228,303.78168
236,225.70396
241,40.801334
242,174.18169
243,244.24464
245,30.908995
247,244.89658
251,96.72498
252,87.60142
253,86.52506
254,106.88987
258,346.43823
260,53.030617
261,163.69392
265,102.721794
266,265.97452
267,298.6247
269,162.66916
270,71.994865
275,118.64517
278,42.798233
279,81.73061
286,103.42959
287,38.60097
288,199.87494
289,148.41505
293,30.594215
294,149.01572
297,36.522396
302,99.82229
303,67.77765
304,15.387923
307,100.11449
309,25.893648
311,195.11354
312,103.49183
314,170.24132
315,239.33177
319,173.77501
322,118.136665
323,66.879616
325,135.10938
327,216.58794
330,37.91139
332,213.3135
333,33.805447
338,102.231606
341,102.46194
345,151.06606
348,110.336006
349,61.890644
350,133.58212
352,52.270866
355,19.701975
356,253.98807
358,52.881344
363,103.08534
369,139.62581
371,43.098415
372,122.79518
375,289.72952
380,117.94106
388,55.22903
391,111.54558
392,236.06183
393,344.76102
394,209.93883
396,22.655945
401,30.747318
407,94.68811
409,102.28532
410,119.58558
416,90.88106
